[22:47:28][HookEngine.c:45 in HookEngine_init] Loading HookEngine in C:\Users\Spl3en\Desktop\vagrantbox\treeofsavior\clienthooks\HooksOfSavior\HooksOfSavior\/NtHookEngine.dll ...
[22:47:28][HookEngine.c:29 in HookEngine_new] HookEngine initialized correctly.
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00000002 | ItemLv = 000 | ClassName = <NoHat> | itemType = <Equip> | GroupName = <Armor> | classType = <None> | EqpType = <HAT> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_001550$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031190 | ItemLv = 65705952 | ClassName = <MAC01_104> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004308$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031191 | ItemLv = 65705952 | ClassName = <MAC01_105> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000498$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031192 | ItemLv = 65705952 | ClassName = <MAC01_106> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000500$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031193 | ItemLv = 65705952 | ClassName = <MAC01_107> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000502$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031194 | ItemLv = 65705952 | ClassName = <MAC01_108> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000504$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031195 | ItemLv = 65705952 | ClassName = <MAC01_109> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000506$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031196 | ItemLv = 65705952 | ClassName = <MAC01_110> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000508$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031197 | ItemLv = 65705952 | ClassName = <MAC01_111> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004309$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031198 | ItemLv = 65705952 | ClassName = <MAC01_112> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004310$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031199 | ItemLv = 65705952 | ClassName = <MAC01_113> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000512$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003119A | ItemLv = 65705952 | ClassName = <MAC01_114> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000514$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003119B | ItemLv = 65705952 | ClassName = <MAC01_115> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004311$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003119C | ItemLv = 65705952 | ClassName = <MAC01_116> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000517$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003119D | ItemLv = 65705952 | ClassName = <MAC01_117> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004312$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003119E | ItemLv = 65705952 | ClassName = <MAC01_118> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000520$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003119F | ItemLv = 65705952 | ClassName = <MAC01_119> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004313$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311A0 | ItemLv = 65705952 | ClassName = <MAC01_120> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000522$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311A1 | ItemLv = 65705952 | ClassName = <MAC01_121> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004314$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311A2 | ItemLv = 65705952 | ClassName = <MAC01_122> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150406_004522$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311A3 | ItemLv = 65705952 | ClassName = <MAC01_123> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004316$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311A4 | ItemLv = 65705952 | ClassName = <MAC01_124> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000526$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311A5 | ItemLv = 65705952 | ClassName = <MAC01_125> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000527$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311A6 | ItemLv = 65705952 | ClassName = <MAC01_126> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000528$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311A7 | ItemLv = 65705952 | ClassName = <MAC01_127> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000529$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311A8 | ItemLv = 65705952 | ClassName = <MAC01_128> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000530$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311A9 | ItemLv = 65705952 | ClassName = <MAC01_129> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004317$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311AA | ItemLv = 65705952 | ClassName = <MAC01_130> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000532$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311AB | ItemLv = 65705952 | ClassName = <MAC01_131> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000533$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311AC | ItemLv = 65705952 | ClassName = <MAC01_132> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000534$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311AD | ItemLv = 65705952 | ClassName = <MAC01_133> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000535$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311AE | ItemLv = 65705952 | ClassName = <MAC01_134> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000536$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311AF | ItemLv = 65705952 | ClassName = <MAC01_135> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150714_005114$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000311B0 | ItemLv = 65705952 | ClassName = <MAC01_136> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150714_005115$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031575 | ItemLv = 65705952 | ClassName = <MAC02_101> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000538$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031576 | ItemLv = 65705952 | ClassName = <MAC02_102> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Aries> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000540$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031577 | ItemLv = 65705952 | ClassName = <MAC02_103> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000543$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031578 | ItemLv = 65705952 | ClassName = <MAC02_104> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000545$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031579 | ItemLv = 65705952 | ClassName = <MAC02_105> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000547$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003157A | ItemLv = 65705952 | ClassName = <MAC02_106> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000549$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003157B | ItemLv = 65705952 | ClassName = <MAC02_107> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000551$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003157C | ItemLv = 65705952 | ClassName = <MAC02_108> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000553$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003157D | ItemLv = 65705952 | ClassName = <MAC02_109> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000555$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003157E | ItemLv = 65705952 | ClassName = <MAC02_110> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000557$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003157F | ItemLv = 65705952 | ClassName = <MAC02_111> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000559$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031580 | ItemLv = 65705952 | ClassName = <MAC02_112> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000561$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031581 | ItemLv = 65705952 | ClassName = <MAC02_113> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000563$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031582 | ItemLv = 65705952 | ClassName = <MAC02_114> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000565$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031583 | ItemLv = 65705952 | ClassName = <MAC02_115> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000566$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031584 | ItemLv = 65705952 | ClassName = <MAC02_116> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000567$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031585 | ItemLv = 65705952 | ClassName = <MAC02_117> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000568$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031586 | ItemLv = 65705952 | ClassName = <MAC02_118> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000569$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031587 | ItemLv = 65705952 | ClassName = <MAC02_119> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150803_005923$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003195D | ItemLv = 65705952 | ClassName = <MAC03_101> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000572$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003195E | ItemLv = 65705952 | ClassName = <MAC03_102> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000574$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x0003195F | ItemLv = 65705952 | ClassName = <MAC03_103> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000576$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031960 | ItemLv = 65705952 | ClassName = <MAC03_104> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000578$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031961 | ItemLv = 65705952 | ClassName = <MAC03_105> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000580$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031962 | ItemLv = 65705952 | ClassName = <MAC03_106> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000583$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031963 | ItemLv = 65705952 | ClassName = <MAC03_107> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000585$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031964 | ItemLv = 65705952 | ClassName = <MAC03_108> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150428_004837$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031965 | ItemLv = 65705952 | ClassName = <MAC03_109> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150428_004838$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031D45 | ItemLv = 65705952 | ClassName = <MAC04_101> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000587$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031D46 | ItemLv = 65705952 | ClassName = <MAC04_102> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000589$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031D47 | ItemLv = 65705952 | ClassName = <MAC04_103> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000591$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00031D48 | ItemLv = 65705952 | ClassName = <MAC04_104> | itemType = <Equip> | GroupName = <Weapon> | classType = <Mace> | EqpType = <SH> | AttackType = <Strike> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150414_004605$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FAD | ItemLv = 000 | ClassName = <SHD01_101> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000593$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FAE | ItemLv = 000 | ClassName = <SHD01_102> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000595$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FAF | ItemLv = 000 | ClassName = <SHD01_103> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000597$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FB0 | ItemLv = 000 | ClassName = <SHD01_104> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000599$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FB1 | ItemLv = 000 | ClassName = <SHD01_105> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000601$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FB2 | ItemLv = 000 | ClassName = <SHD01_106> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000603$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FB3 | ItemLv = 000 | ClassName = <SHD01_107> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000605$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FB4 | ItemLv = 000 | ClassName = <SHD01_108> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000607$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FB5 | ItemLv = 000 | ClassName = <SHD01_109> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004318$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FB6 | ItemLv = 000 | ClassName = <SHD01_110> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150401_004319$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FB7 | ItemLv = 000 | ClassName = <SHD01_111> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000613$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FB8 | ItemLv = 000 | ClassName = <SHD01_112> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000614$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FB9 | ItemLv = 000 | ClassName = <SHD01_113> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000615$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FBA | ItemLv = 000 | ClassName = <SHD01_114> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000616$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FBB | ItemLv = 000 | ClassName = <SHD01_115> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000617$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FBC | ItemLv = 000 | ClassName = <SHD01_116> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000618$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FBD | ItemLv = 000 | ClassName = <SHD01_117> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000619$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FBE | ItemLv = 000 | ClassName = <SHD01_118> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000620$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00035FBF | ItemLv = 000 | ClassName = <SHD01_119> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000621$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00036129 | ItemLv = 000 | ClassName = <SHD01_481> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000659$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00036395 | ItemLv = 000 | ClassName = <SHD02_101> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000622$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00036396 | ItemLv = 000 | ClassName = <SHD02_102> | itemType = <Equip> | GroupName = <Armor> | classType = <Shield> | EqpType = <SH> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000624$*^>
